,index,title,description,price,details,parent_asin
10,1891,"JDO Eyelash Curler and 4D Silk Fiber Lash Mascara Value Set-Lash Curler with Refill Pads for No Pinching or Pulling, Mascara Natural Thickening- Long Lasting Waterproof & Smudge-Proof",,,{'Package Dimensions': '6 x 4 x 1 inches; 3.21 Ounces'},B08C24Q6LB
11,2047,"Kale Firm & Smooth Body Lotion - Superfood Infused Firming Body Lotion with Kale. 6.8 fl.oz, Anti-Aging Moisturizing Lotion For All Skin Types",,,"{'Brand': 'Cancun Collection', 'Item Form': 'Lotion', 'Unit Count': '6.8 Fl Oz', 'Number of Items': '1', 'Use for': 'Whole Body', 'Package Dimensions': '7.5 x 4 x 1.1 inches; 8.01 Ounces', 'UPC': '659436986671'}",B07SW7D6ZR
12,2104,"Organic Bamboo Cotton Ear Swabs by Bali Boo - 200 - Natural Wooden Qtips Cotton Swabs for Cleaning Ears, Baby or Makeup and Nails - Sustainable & Vegan Buds Sticks - Eco Friendly & Biodegradable",,,"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '3.8 x 3.3 x 2.1 inches; 2.4 Ounces'}",B07KG1TWP5
13,2427,"Velvet Women Headband with Buttons,YANJIE 6 Pcs Hair Band Ear Protection Holder for Nurses Doctors Non Slip,Stretchy Leopard Head Bands Fashion Unisex Hair Accessories Head Wrap 20inch",,,"{'Material': 'Velvet', 'Fabric Type': 'Velvet', 'Brand': 'YanJie', 'Item Form': 'Wrap', 'Unit Count': '1.00 Count', 'Package Dimensions': '9.25 x 5.98 x 1.81 inches; 1.06 Ounces', 'UPC': '792119595057', 'Manufacturer': 'YANJIE'}",B08PTZL95G
14,2668,"MUSE & Co Dazzling Rhinestone Stick On Nails, White Nails with Glitter Nails and Rhinestones ""French Sparkle"", Luxurious Elegant Nails, Squoval Medium Length Nails Press On Nails for Women and Girls Fake Nail Set 36pcs",,,"{'Color': 'White', 'Size': '36 Count (Pack of 1)', 'Material': 'Gel', 'Brand': 'MUSENCO', 'Style': 'French', 'Product Dimensions': '1.97 x 4.33 x 0.79 inches; 0.81 Ounces', 'Manufacturer': 'MUSENCO'}",B088M5P8FN
15,2702,TCM Men's Cleansing Activated Charcoal Bar Soap - For all skin types - 5oz (1 Pack),,,"{'Item Form': 'Bar', 'Skin Type': 'All', 'Brand': 'TCM', 'Scent': 'Coconut', 'Age Range (Description)': 'Youth', 'Package Dimensions': '3.7 x 2.01 x 1.34 inches; 5.26 Ounces', 'UPC': '851058008179'}",B0845LNDJK
16,2754,"BEPHOLAN Natural Eyelash Growth Serum and Brow Enhancer to Grow Thicker, Longer Lashes for Long, Luscious Lashes and Eyebrows|15ML",,,{'Package Dimensions': '5.43 x 1.34 x 0.94 inches; 0.63 Ounces'},B08J7R5HHX
17,2965,AMOREPACIFIC Color Control Cushion Compact Broad Spectrum SPF 50+,,75.0,"{'Item Form': 'Cream', 'Color': '208 Medium Yellow', 'Skin Type': 'Normal', 'Finish Type': 'Hydration', 'Recommended Uses For Product': 'Professional Skin Care', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '8 x 5 x 5 inches; 1.05 Ounces', 'Item model number': '270330597', 'Manufacturer': 'AmazonUs/4O2O3', 'Country of Origin': 'Korea, Republic of', 'Domestic Shipping': 'Item can be shipped within U.S.', 'International Shipping': 'This item can be shipped to select countries outside of the U.S.  Learn More'}",B089NJG212
18,3141,"BE PLAIN Vitamin Ampoule 1.01 fl oz. - Korean Multi Vitamin Serum for Face with Vitamin B, Vitamin C, Vitamin E, Hyaluronic Acid",,,"{'Scent': 'Aloe', 'Brand': 'Be Plain', 'Item Weight': '30 Grams', 'Item Volume': '30 Milliliters', 'Unit Count': '1.01 Fl Oz', 'Product Dimensions': '1.57 x 1.57 x 3.74 inches; 1.06 Ounces', 'Item model number': 'BP008'}",B083TLNBJJ
19,3252,"Karuna Oh, Glow On Face Mask Sheet, Skincare and Beauty Facial Masks with Moisturizing and Collagen Promotion Properties for Healthy Glow, Contain Green Tea, Vitamin C and Pineapple (3 Sheets)",,,"{'Brand': 'Karuna', 'Item Form': 'Sheet', 'Product Benefits': 'Hydrate Skin,Hydrate', 'Scent': 'Pineapple', 'Special Feature': 'Not Tested On Animals', 'Package Dimensions': '6.54 x 4.88 x 0.87 inches; 9.59 Ounces', 'Item model number': 'MSF1004 - CA', 'UPC': '857950007166'}",B08BS3WDPJ
20,3474,Magic Wand Makeup Brushes Set - 5pcs Wizard Wand Makeup Brushes Foundation Blending Blush Eyeshadow Face Lip Powder Brush Beauty Tools (New-Bronze),,12.99,"{'Brand': 'rongji jewelry', 'Recommended Uses For Product': 'For Eyeshadow, Lip, For Blush, For Setting Powder, For Foundation, Eyebrow', 'Color': 'New-Bronze', 'Material': 'Synthetic', 'Skin Type': 'All', 'Item Form': 'Wand', 'Number of Pieces': '5', 'Age Range (Description)': 'Adult', 'Ferrule Material': 'Aluminum', 'Skin Tone': 'All', 'Package Dimensions': '7.72 x 3.03 x 1.14 inches; 5.29 Ounces', 'Item model number': 'makeup brushes', 'UPC': '793610791245', 'Manufacturer': 'YUNXIAN'}",B07YG4PRTN
21,3570,"Premium black caviar facial mask sheet for anti-aging and anti-wrinkle, AG Mask, 6 Sheets, Hydrating and Brightening, Made in Korea.",,33.0,"{'Brand': 'OxygenCeuticals', 'Item Form': 'Sheet', 'Product Benefits': 'Hydrating,Moisturizing Skin,Anti-aging', 'Scent': 'Black', 'Material Type Free': 'Alcohol Free', 'Package Dimensions': '9.09 x 6.85 x 1.77 inches; 8.15 Ounces'}",B089D16BWJ
22,3806,"C'est Moi Vanilla Vibes Sugar Balm Body Scrub | Invigorating & Hydrating Exfoliant, Clinically Tested Non-Toxic Ingredients feat. Organic Shea Butter, Coconut Oil & Avocado Oil, EWG Verified, 6 oz",,20.5,"{'Brand': ""C'est Moi"", 'Item Form': 'Balm', 'Skin Type': 'Sensitive', 'Product Benefits': 'Hydrating', 'Active Ingredients': 'Sugar', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '3.5 x 3.5 x 2 inches; 6 Ounces', 'Item model number': 'PR-COM-RT-X994317', 'UPC': '039897302607'}",B07FPS2VFK
23,4182,CIMIY Gel Nail Polish Set 8 bottles - Manicure Colors Infinity with Top Base Coat for Forest Nail Art Natural Daily All Seasons for Nail Profession Salon and Starter at Home Soak Off UV LED 0.32oz,,,"{'Brand': 'CIMIY', 'Item Form': 'Gel', 'Type': 'Gel', 'Finish Type': 'Glossy', 'Material Feature': 'Non-Toxic, Cruelty Free', 'Age Range (Description)': 'Adult', 'Unit Count': '1 Count', 'Liquid Volume': '0.3 Fluid Ounces', 'Package Dimensions': '11.54 x 3.58 x 1.22 inches; 11.64 Ounces'}",B08HZ5Y8RY
24,5008,"Cutting Scissors Set 10 Pcs Professional Hairdressing Scissors Kit, Hair Cutting Scissors, Thinning Shears, Hair Razor Comb, Clips, Cape, Shears Kit for Home, Salon, Barber",,,"{'Brand': 'P.travel', 'Included Components': 'Scissors', 'Unit Count': '1 Count', 'Blade Material': 'Stainless Steel', 'Package Dimensions': '11.2 x 5.5 x 1.5 inches; 11.22 Ounces', 'UPC': '740646020214', 'Manufacturer': 'P.travel'}",B088PYN4VM
25,5877,"MEACOLIA 6 Pack 8oz Water Mist Empty Spray Bottle for Hair,Plastic Spray Bottle for Cleaning Solutions,Refillable Container with Adjustable Head",,,"{'Brand': 'MEACOLIA', 'Material': 'Plastic', 'Capacity': '8 Ounces', 'Package Dimensions': '10 x 9.13 x 4.25 inches; 9.59 Ounces', 'UPC': '193499864359'}",B08F79Z1Q5
26,6307,"Easydew 2-Step Face Contour Sheet Mask - Tightening & Anti-Aging & Hydrating Korean Face Mask with DW-EGF, Hyaluronic Acid for Anti-Winkle, Reducing Fine Line & Producing Collagen (Qty 5)",,,"{'Brand': 'EASYDEW', 'Item Form': 'Sheet', 'Scent': 'Honey', 'Special Feature': 'Not Tested On Animals', 'Unit Count': '1.00 Count', 'Is Discontinued By Manufacturer': 'Yes', 'Package Dimensions': '8.35 x 6.38 x 0.63 inches; 7.44 Ounces', 'Item model number': 'EETS1003', 'Manufacturer': 'CleveAid'}",B07P4LLZS6
27,6366,"13.5 fl. Oz. Goat Milk Facial Cleanser, Moisturizing Face Wash for Women, Hydrating Natural Face Wash, Anti-aging Face Wash, Face Wash for Aging Ski",,15.97,"{'Item Form': 'Foam', 'Skin Type': 'All', 'Brand': 'L&I Apothecary', 'Scent': 'Aloe Vera', 'Material Feature': 'Natural, Cruelty Free', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.06 x 4.25 x 4.13 inches; 1.38 Pounds', 'Item model number': 'LI-BB', 'UPC': '781490943212', 'Manufacturer': 'The Henna Guys, Inc.'}",B07NPWK167
28,6591,"Travel Bottles for Toiletries, Silicone Travel Size Bottles And Squeezable Containers Holders with belt clip Keychain for Backpack, Shampoo, Liquid, Cosmetic Products(2 oz, 6 Pack)",,,"{'Brand': 'MACRAY', 'Material': 'Silicone', 'Capacity': '2 Ounces', 'Age Range (Description)': 'Adult', 'Number of Items': '1', 'Package Dimensions': '11.73 x 6.61 x 1.61 inches; 8.47 Ounces', 'UPC': '782938308006'}",B08HRHCZV2
29,7175,ROSEGIN 23 Pcs Gel Nail Polish Set with Glossy and Matte Top and Base Coat Soak Off Gel Polish Colors Pink Red Green Neon Long Lasting Nail Gel Polish,,,"{'Brand': 'ROSEGIN', 'Item Form': 'Gel', 'Color': 'Yellow,Orange,Green,Red,Pink', 'Finish Type': 'Glitter,Glossy', 'Special Feature': 'Long Lasting,Peel Off,Long-lasting', 'Material Feature': 'Non-Toxic, Cruelty Free', 'Age Range (Description)': 'Adult', 'Unit Count': '1 Count', 'Number of Items': '23', 'Liquid Volume': '0.25 Fluid Ounces', 'Package Dimensions': '11.77 x 10.12 x 1.14 inches; 1.78 Pounds'}",B08K8P7LN6
30,7179,Iryasa Night Indulge Cream - Natural Face Cream for Dry Skin - Vegan Anti Aging Night Cream for Women - Firming Cream for Face and Neck - Organic Vitamin C Moisturizer for Face - 1.7oz,,,"{'Brand': 'IRYASA', 'Item Form': 'Cream', 'Unit Count': '1.7 Ounce', 'Use for': 'Face', 'Skin Type': 'Mature', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '2.76 x 2.76 x 2.2 inches; 1.76 Ounces'}",B07W397QG4
31,7647,"Cleancult Soap Dispenser with Pump, 12oz Frosted Glass Refillable Bottle with Non-Slip Grip, Pre filled with Natural Liquid Handsoap, Lavender Scent, Eco Friendly",,,"{'Package Dimensions': '11 x 6 x 5 inches; 2.15 Pounds', 'UPC': '733447759506'}",B07Z4CVTRP
32,7779,"Garnier Whole Blends Softening Shampoo Bar for Fine to Normal Hair, Oat Delicacy, 2 Oz, 1 Count (Packaging May Vary)","Raise the bar on shampoo! Introducing a bar full of care for your hair that cleanses and lathers like a liquid shampoo, with zero plastic packaging. The nourishing and foamy formulas soften, protect, and revitalize hair, delivering shiny and healthy-looking strands that are cleansed with no harsh effect. Formulated with 94% plant-based ingredients, the shampoo bars are blended without silicones, preservatives, soap and dye. Bonus: Each easy-to-use bar lasts up to 40 washes. The fast-rinsing formulas are 97% biodegradable and dermatologist-tested for safety. To use, wet hair and the solid shampoo to make it foam, hold the bar and lather from roots to tips, massage scalp and rinse. Follow with your favorite Garnier Whole Blends shampoo or conditioner for added nourishment. New Whole Blends Shampoo Bars are available in four blends for your hair needs, packaged in 100% recyclable and Forest Stewardship Council certified cardboard boxes: Whole Blends Restoring Honey Treasures Shampoo Bar for dry and damaged hair, Whole Blends Hydrating Coco & Aloe Vera Shampoo Bar *Sulfate Free* for normal hair, Whole Blends Softening Oat Delicacy Shampoo Bar for fine to normal hair, Whole Blends Strengthening Ginger Recovery Shampoo Bar for weak hair.",7.97,"{'Brand': 'Garnier', 'Item Form': 'Bar', 'Hair Type': 'Fine Hair,Normal Hair-', 'Scent': 'Honey', 'Age Range (Description)': 'Adult', 'Package Dimensions': '2.99 x 2.91 x 1.26 inches; 2 Ounces', 'Manufacturer': 'Garnier Hair Care', 'Country of Origin': 'France'}",B0941YDPSW
33,8008,"Microfiber Hair Towels - 5 Towel Set – 5 Beautiful Colors - Great for all Hair Types - Size (10 x 26 inches) Lightweight, Absorbent, and Ultra Soft. Colors Rose, Pink, Gray, Blue, and Lilac.",,,"{'Brand': 'AViBNiUM', 'Towel form type': 'Hair Towel', 'Age Range (Description)': 'All Ages', 'Material': 'Microfiber', 'Product Dimensions': '26""L x 10""W', 'Package Dimensions': '13 x 10 x 3 inches; 1.06 Pounds', 'UPC': '860005528004'}",B08Q3F3L7S
34,8724,"Peripera Ink Mood Matte Lipstick, Lightweight, Matte, Smooth, Hydrating, Lasting Color Payoff (02 Pink Go Up)",,9.9,"{'Brand': 'Peripera', 'Color': '02 PINK GO UP', 'Skin Type': 'Dry', 'Item Form': 'Crayon', 'Finish Type': 'Matte', 'Package Dimensions': '3.46 x 0.94 x 0.87 inches; 1.06 Ounces', 'Manufacturer': 'CLIO'}",B09HMXY36F
35,8725,"Rose Quartz Roller with Derma Roller 0.25mm, Facial Kit with Microneedle and Pink Jade Rollers",,19.95,"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '7.1 x 5.1 x 1.6 inches; 8.78 Ounces', 'Item model number': 'LS17', 'UPC': '850002524062', 'Manufacturer': 'LOLYSENTA, LLC'}",B07HVRP37G
36,9076,"STYLEAGAL Portable Electric Nail Drill, Manicure Pedicure Drill Kit Professional nail starter kit for beginners acrylic with drill（2020 Upgraded）",,,"{'Brand': 'styleagal', 'Voltage': '5 Volts', 'Power Source': 'Battery Powered', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '7.8 x 4.5 x 2 inches; 8.01 Ounces', 'UPC': '782913461771', 'Manufacturer': 'STYLEAGAL'}",B0888CX245
37,9212,"Maya Mari Hydrating Argan Oil Shampoo – Rich in Nutrients, Restores Moisture & Shine, 32 oz",,,"{'Brand': 'MAYA MARI', 'Hair Type': 'Damaged,Curly Hair', 'Age Range (Description)': 'Adult', 'Material Type Free': 'Paraben Free', 'Product Benefits': 'Hydrating', 'Product Dimensions': '3.25 x 3.25 x 10 inches; 1.94 Pounds', 'Item model number': 'MMAROILSP', 'UPC': '850004068267'}",B087ZQK2G8
38,9231,"Cuckoo Face Makeup Oil-Absorbing Volcanic Face Roller,Jade Roller Set Facial Beauty Tools,Face Roller Skin Massager for Face","Cuckoo Face Makeup Oil-Absorbing Volcanic Face Roller& Jade Roller|Why choose Cuckoo?|Cuckoo has one pc of Oil-Absorbing Volcanic Face Roller and one pc of Jade roller.  The oil-absorbing volcanic face roller can help you absorb excess grease and keep your skin fresh and shiny at all times.  The jade roller can improve skin circulation, soothes your skin, reducing puffiness, wrinkling and fine lines to smooth your skin.|Advantage Of Oil-Absorbing Volcanic Face Roller|Prefect Oil Absorption Effect|Like oil-absorbing paper, but better. Roll through your face with volcanic stone balls to instantly absorb excess grease and keep your skin fresh and shiny at all times.|Reusable Use|Unlike blotting papers for oily skin that are used once and thrown out, this oil-absorbing roller is easy to clean make it reusable.|Special Design|Built-in special ball design, rolling is silkier and easier, gently or wherever the skin is shiny, rolling the face rollers. The oil on the face will disappear.|Easy To Carry|You don’t have to go rooting around your purse for blotting papers anymore.|Advantage Of Jade Roller|Natural Rose Quartz Jade|Natural approach to caring the skin, no dyes, sulfates, parabens or other chemicals. It is made of 100% natural Brazilian rose quartz jade stone.|No Crack& Scratch|Use superb sanding technology to polish the surface of the jade many times. It is super fine and smooth so that don't scratch your skin.|Lifts and tighten skin& Improve the blood circulation& Smooth and reduce wrinkles& Reduces dark circles and puffiness",23.99,"{'Product Dimensions': '7.87 x 3.94 x 1.18 inches; 2.08 Ounces', 'Item model number': 'Face Roller-1', 'Manufacturer': 'Cuckoo'}",B09C5NQSC5
39,10027,"lorelo 4 Pieces Nail Dotting Pen, Dual-ended Nail Dotting Pen Liner Brush Nail Art Point Drill Drawing Tools Set Nail Art DIY Decoration Tool",,,"{'Package Dimensions': '7.3 x 4.2 x 0.6 inches; 1.59 Ounces', 'UPC': '619156572950'}",B085RQKWNF
40,10363,"Aesfee Makeup Mirror Vanity Mirror with Lights, 1x/2x/3x Magnification LED Lighted Trifold Cosmetic Mirrors, 3 Color Lighting Modes Touch Control Dimmable Countertop Illuminated Mirrors - White",,,"{'Brand': 'Aesfee', 'Shape': 'Rectangular', 'Product Dimensions': '2.6 x 6.5 x 0.01 inches; 2.85 Pounds', 'Mounting Type': 'Tabletop Mount', 'Special Feature': 'Dimmable, Trifold, Lighted, Adjustable, Touch_sensor', 'Item model number': 'AF-805', 'UPC': '608912294366'}",B08N6CLJ6P
41,10424,Plant Therapy Natural Acetone Free Nail Polish Remover 6 fl oz One Touch Dispensing Bottle with Flip Top Cap Tropical Flower Scent,,,"{'Brand': 'Plant Therapy', 'Item Form': 'Liquid', 'Item Weight': '6.24 Ounces', 'Number of Items': '1', 'Unit Count': '6 Fl Oz', 'Package Dimensions': '5.1 x 2.2 x 2.2 inches; 6.24 Ounces', 'UPC': '680912056168'}",B08NC4378M
42,10546,Jumbo Braiding Hair Extensions 24 Inch 6 Packs Ombre Synthetic Hair Crochet Braids Kanekalon Long Jumbo Braids For Box Braid Twist Crochet Hair (Black/Dark Brown/Light Brown),,,"{'Brand': 'Belle Show', 'Material': 'Synthetic', 'Extension Length': '24 Inches', 'Installation Type': 'Clip-In', 'Package Dimensions': '10.16 x 9.49 x 4.29 inches; 1.43 Pounds'}",B08DKFV9SR
43,11307,Balance White Mud Balancing Mask by Au Natural Skinfood | Rotorua Exfoliating Mask with 16+ Manuka Honey | Certified | Food For Your Skin | All Skin Types | Made in New Zealand | 1.7 oz,,,"{'Brand': 'AÚ NATURAL SKINFOOD', 'Item Form': 'Mask', 'Product Benefits': 'Exfoliates,Hydrates,Exfoliating', 'Scent': 'Honey', 'Skin Type': 'All', 'Product Dimensions': '9.65 x 6.1 x 1.77 inches; 1.7 Ounces'}",B07PCGSFGQ
44,11332,"Bath Bombs, SAZEN Bath Bomb with Natural & Organic Essential Oils, Shea Coconut Butter for Skin Moisturize, Bubble Spa Bath, Birthday Mothers Day Christmas Handmade Gift Set for Women Kids Her Him",,,"{'Brand': 'SAZEN', 'Scent': 'Coconut', 'Material Feature': 'Organic Ingredients', 'Unit Count': '24.00 Count', 'Number of Items': '24', 'Package Dimensions': '12.17 x 6.26 x 2.24 inches; 2.65 Pounds', 'Item model number': 'SAZEN 01', 'UPC': '745103723622', 'Manufacturer': 'SAZEN'}",B089R7S73D
45,11445,NOBLE Wigs for White Women Purple Lace Wigs for Black Women 27 Inch Long Curly Wavy Colored Wigs Middle Part Heat Resistant Synthetic Ombre Purple Wavy Wigs for Daily Party Cosplay Use,,,"{'Material': 'Human Hair', 'Hair Type': 'Wavy', 'Style': 'Modern', 'Special Feature': 'Heat Resistant', 'Brand': 'NOBLE', 'Package Dimensions': '13.78 x 7.76 x 2.44 inches; 14.07 Ounces'}",B0863FZFPV
46,11719,"3D Mink Eyelashes Natural Long Lashes 2 in 1 Self-adhesive Eyeliner Instead of Adhesive 5 Different Styles Pairs Kits Sets with Tweezers , NO NEED GLUE",,,"{'Brand': 'PURELEOR', 'Material': 'Mink Fur', 'Item Form': 'Pair', 'Mounting Type': 'Eyelash Glue', 'Unit Count': '5.00 Count', 'Package Dimensions': '9 x 6 x 1 inches; 2.4 Ounces', 'UPC': '750810450143'}",B086GST51S
47,11723,allez outdoor | Biodegradable Cleansing Cloths | Natural Plant-Based Face and Body Wipes | PH Balanced | Cactus Bloom and Chaparral Scent | 20ct Individually Wrapped Towelettes,,22.0,"{'Brand': 'Allez', 'Skin Type': 'Oily, Combination, Dry, Normal', 'Material Feature': 'Biodegradable Warning', 'Unit Count': '20.00 Count', 'Number of Items': '1', 'Package Dimensions': '6.2 x 5.4 x 4.2 inches; 13.62 Ounces', 'Item model number': 'ABWPS001', 'UPC': '860000823210', 'Manufacturer': 'Allez Outdoor, LLC'}",B09L33VJCL
48,13063,"EMMOR Long Ombre Brown Wig for Women - 23 Inch Natural Synthetic Straight Hair Middle Part With Air Bang Wigs Dark Root, Party Cosplay Daily Use",,,"{'Material': 'Human Hair', 'Hair Type': 'Curly', 'Style': 'Modern', 'Brand': 'EMMOR', 'Age Range (Description)': 'Adult', 'Package Dimensions': '13.5 x 9.72 x 2.2 inches; 11.68 Ounces', 'Item model number': 'femlc169-1'}",B085MCMZLX
49,13857,"36 Pack 2oz Clear Plastic Empty Bottles Travel Containers with Flip Cap for Hand Sanitizer, Cosmetic, Shampoo, Lotion, Liquid Body Soap, Cream, Toner, BPA-free",,,"{'Package Dimensions': '12.09 x 10.28 x 3.07 inches; 13.12 Ounces', 'UPC': '667322945817'}",B08343FS9P
50,13942,AMAJULIE Non Slip Flexible Silicon Wigs Fix Strong Hold Comfort Silicone Lace Wig Grip Transparent Headband Hair Band Adjustable for Lace Wigs (Light Brown),,,"{'Material': 'Silicone', 'Fabric Type': 'Silicone,Silicon,Lace', 'Brand': 'AMAJULIE', 'Unit Count': '1.00 Count', 'Package Dimensions': '3.98 x 2.28 x 0.55 inches; 0.88 Ounces', 'UPC': '192389741275'}",B08BXVJMRY
51,14017,"ForPro Expert Therapy Massage Lotion, Fragrance-Free, Relax Sore Muscles & Repair Dry Skin, Lightweight, Non-Greasy Formula, Paraben & Sulfate-Free, 1 Gallon (128 Ounces)","ForPro Expert Therapy Massage Lotion is specifically made using an expert formulation that contains arnica extract and aloe for soothing sore muscles; shea butter and olive oil for providing maximum glide; cocoa butter, vitamin E, sweet almond and avocado oil for deep penetrating moisturization. Massage lotion hydrates without leaving a greasy feel to optimize any massage, repairs dry skin, relieves sore muscles, and increases blood circulation throughout the body. Quick absorption provides lasting performance and drag and superior workability. Suitable for all massage types, including Swedish, Deep Tissue, and Sports. Residue-free, paraben-free, sulfate-free, and fragrance-free. 100% vegan.",,"{'Brand': 'ForPro Professional Collection', 'Scent': 'Unscented', 'Item Form': 'Lotion', 'Allergen Information': 'Almonds', 'Material Feature': 'Paraben Free', 'Product Dimensions': '6 x 6 x 10 inches; 8 Pounds', 'UPC': '672047908832', 'Manufacturer': 'AmazonUs/TNGAE'}",B08N5NDVGH
52,14164,Mini Rubber Bands Soft Elastic Bands for Kids Hair Non-slip Rubber Hair Bands Soft Hair Elastics Ties Bands Braids Hair for Girls - STRONG - REUSEABLE (Colorful1000+Black1000),,,"{'Material': 'Rubber', 'Item Form': 'Elastic', 'Brand': 'OLEWELL', 'Hair Type': 'Straight', 'Number of Pieces': '2', 'Package Dimensions': '7 x 5 x 1 inches; 0.81 Ounces', 'Item model number': 'SML'}",B089KBMST6
